Prepare the network and data.
DataParallel(
  (module): BCNN(
    (features): Sequential(
      (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): ReLU(inplace=True)
      (2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (3): ReLU(inplace=True)
      (4): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (5): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (6): ReLU(inplace=True)
      (7): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (8): ReLU(inplace=True)
      (9): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (10): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (11): ReLU(inplace=True)
      (12): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (13): ReLU(inplace=True)
      (14): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (15): ReLU(inplace=True)
      (16): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (17): Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (18): ReLU(inplace=True)
      (19): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (20): ReLU(inplace=True)
      (21): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (22): ReLU(inplace=True)
      (23): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
      (24): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (25): ReLU(inplace=True)
      (26): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (27): ReLU(inplace=True)
      (28): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (29): ReLU(inplace=True)
    )
    (fc): Linear(in_features=262144, out_features=200, bias=True)
  )
)
Files already downloaded and verified.
Files already downloaded and verified.
Training.
Epoch	Train loss	Train acc	Test acc
*1	4.599		10.00%		27.44%
*2	3.048		42.00%		50.05%
*3	2.188		62.00%		56.73%
*4	1.684		72.00%		61.67%
*5	1.375		78.00%		66.07%
*6	1.146		82.00%		68.90%
*7	0.991		85.00%		70.68%
*8	0.874		87.00%		71.28%
*9	0.774		89.00%		71.57%
*10	0.703		90.00%		73.75%
*11	0.637		91.00%		73.84%
12	0.575		92.00%		73.35%
13	0.528		93.00%		73.71%
*14	0.486		94.00%		74.77%
*15	0.457		95.00%		75.70%
16	0.422		95.00%		75.25%
17	0.392		96.00%		75.20%
18	0.366		96.00%		75.13%
*19	0.342		97.00%		75.87%
*20	0.326		97.00%		75.91%
21	0.300		98.00%		75.61%
*22	0.284		98.00%		76.16%
23	0.268		98.00%		76.10%
*24	0.261		98.00%		76.53%
25	0.244		98.00%		76.22%
26	0.235		98.00%		76.41%
27	0.228		98.00%		76.41%
*28	0.210		99.00%		76.75%
29	0.203		99.00%		76.54%
*30	0.197		99.00%		77.01%
*31	0.188		99.00%		77.05%
32	0.179		99.00%		76.63%
*33	0.170		99.00%		77.39%
34	0.164		99.00%		77.03%
35	0.161		99.00%		76.99%
36	0.155		99.00%		76.75%
Epoch    37: reducing learning rate of group 0 to 1.0000e-01.
37	0.149		99.00%		77.10%
*38	0.137		99.00%		77.72%
39	0.133		99.00%		77.61%
40	0.134		99.00%		77.67%
41	0.135		99.00%		77.61%
Epoch    42: reducing learning rate of group 0 to 1.0000e-02.
42	0.131		99.00%		77.51%
43	0.130		99.00%		77.53%
44	0.130		99.00%		77.53%
45	0.134		99.00%		77.55%
Epoch    46: reducing learning rate of group 0 to 1.0000e-03.
46	0.134		99.00%		77.63%
47	0.132		99.00%		77.63%
48	0.131		99.00%		77.63%
49	0.133		99.00%		77.63%
Epoch    50: reducing learning rate of group 0 to 1.0000e-04.
50	0.133		99.00%		77.63%
51	0.130		99.00%		77.63%
52	0.131		99.00%		77.63%
53	0.132		99.00%		77.63%
Epoch    54: reducing learning rate of group 0 to 1.0000e-05.
54	0.131		99.00%		77.63%
55	0.131		99.00%		77.63%
Best at epoch 38, test accuaray 77.718329
